,Unnamed: 0,address,description,postal_code,lat,lon,square_lat,square_lon
0,0,"50 JURONG GATEWAY ROAD, JEM, #04-30","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",608549,1.33320021038331,103.743170436292,6,8
1,1,4 TAMPINES CENTRAL 5,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",529510,1.35267231590699,103.944387987324,7,19
2,2,230 VICTORIA STREET,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",188024,1.29981638982486,103.855923563242,4,14
3,3,"50 JURONG GATEWAY RD, JEM, #B1-21/22 & #B3-01","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",608549,1.33320021038331,103.743170436292,6,8
4,4,2 JURONG EAST STREET 21,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",609601,1.33489843717476,103.7467344968,6,8
5,5,2 JURONG EAST CENTRAL 1,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",609731,1.33333039944934,103.740167234363,6,8
6,6,602 JURONG WEST ST 65,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",640602,1.33925339612415,103.700219203285,6,6
7,7,"21 CHOA CHU KANG AVE 4, WALKWAY BESIDE MCDONALD'S","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",689812,1.38506835667563,103.744950384161,8,8
8,8,101 CANTONMENT ROAD,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",89774,1.27616698002633,103.841584210034,3,14
9,9,1 HARBOURFRONT PLACE,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",98633,1.26499758815146,103.81902706845,2,12
10,10,1 MARITIME SQUARE,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",99253,1.26206336420704,103.818732565555,2,12
11,11,298 TIONG BAHRU ROAD,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",168730,1.28630852981463,103.828004847991,3,13
12,12,93 TOA PAYOH CENTRAL,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",319194,1.33493451709456,103.850204545922,6,14
13,13,1999 LORONG 8 TOA PAYOH,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",319258,1.33489037046643,103.859378979813,6,15
14,14,160 LORONG 6 TOA PAYOH,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",319380,1.33627489206396,103.85470024903,6,14
15,15,51 HOUGANG AVENUE 9,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",538776,1.37514897825787,103.882894179307,8,16
16,16,35 HOUGANG AVENUE 3,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",538840,1.36475743233025,103.892622240184,7,16
17,17,"ANG MO KIO AVENUE 3, ANG MOH KIO HUB, #B1-58","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569933,1.3692489128202,103.848399227484,7,14
18,18,SIN MING AVE,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",575738,1.36213756796576,103.8412861742,7,14
19,19,1 WOODLANDS SQUARE,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",738099,1.43600784517148,103.785688739235,11,11
20,20,"80 MARINE PARADE ROAD, PARKWAY PARADE, #3-29","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",449269,1.30119130748691,103.905113592255,4,17
21,21,192 TOA PAYOH LORONG 4,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",310192,1.33166814039843,103.850487239152,6,14
22,22,710A ANG MO KIO AVE 8,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",561710,1.37060311973576,103.847944283348,7,14
23,23,"2 JURONG EAST STREET 21, IMM, #2-23","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",609601,1.33489843717476,103.7467344968,6,8
24,24,"1 HARBOURFRONT WALK, VIVOCITY, #2-34","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",98585,1.2638958023183,103.821589254908,2,13
25,25,"3 SIMEI STREET 6, EASTPOINT MALL, #04-07","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",528833,1.34270618643901,103.953024503826,6,20
26,26,"21 TAMPINES NORTH DRIVE 2, GIANT HYPERMART TAMPINES, #03-01",Bin collection; E-waste accepted: Batteries and Lamps only,528765,1.37210169627783,103.931999887749,8,19
